marketing_id,customer_id,campaign_name,campaign_type,interaction_date,response,discount_used,engagement_score
1,768,Economy Campaign,Email,2024-04-28,Clicked,No,7
2,107,So Campaign,Email,2024-11-19,Open,Yes,5
3,498,Such Campaign,Email,2024-05-11,No,No,10
4,305,Focus Campaign,Push,2024-08-29,No,Yes,9
5,736,Gas Campaign,Push,2024-10-21,Open,No,1
6,136,Various Campaign,SMS,2024-07-06,Open,No,1
7,281,Floor Campaign,Coupon,2023-12-13,Yes,Yes,4
8,553,Call Campaign,Push,2024-11-26,No,Yes,1
9,159,Stay Campaign,Coupon,2025-01-03,Yes,No,6
10,727,Open Campaign,Push,2024-05-21,Open,No,8
11,448,Site Campaign,Email,2025-06-16,Yes,No,1
12,566,Create Campaign,SMS,2025-06-14,Clicked,No,1
13,644,Picture Campaign,Push,2025-06-04,Yes,No,2
14,135,Perhaps Campaign,Email,2025-07-28,Yes,Yes,1
15,968,Billion Campaign,SMS,2023-12-22,No,Yes,7
16,336,Chance Campaign,SMS,2025-01-17,No,Yes,5
17,935,Investment Campaign,SMS,2024-05-20,Open,Yes,7
18,522,Wrong Campaign,Push,2024-01-07,Open,No,10
19,515,Positive Campaign,Email,2025-07-19,Open,Yes,9
20,342,Toward Campaign,SMS,2024-10-05,Open,Yes,10
21,738,West Campaign,SMS,2025-03-12,Yes,No,4
22,73,Piece Campaign,Email,2024-11-08,Yes,No,7
23,970,Example Campaign,Email,2025-10-16,Clicked,No,1
24,27,Growth Campaign,Coupon,2025-01-07,Open,Yes,1
25,526,Claim Campaign,SMS,2025-07-12,Clicked,Yes,3
26,617,Around Campaign,Email,2025-03-08,Yes,No,8
27,469,Keep Campaign,Coupon,2025-02-25,No,Yes,6
28,633,Food Campaign,Email,2025-04-01,Open,No,8
29,595,Return Campaign,SMS,2025-02-14,Yes,No,6
30,8,Beautiful Campaign,Email,2024-09-13,Clicked,No,9
31,942,Worry Campaign,Coupon,2024-02-18,Clicked,Yes,5
32,937,Prepare Campaign,SMS,2025-04-11,Clicked,Yes,3
33,391,Whose Campaign,Push,2024-06-15,No,Yes,10
34,11,Similar Campaign,Email,2024-08-25,Clicked,No,5
35,998,Suggest Campaign,SMS,2024-07-07,Clicked,Yes,6
36,579,Board Campaign,Email,2025-03-15,Yes,Yes,5
37,389,Agency Campaign,Email,2025-01-29,Yes,Yes,6
38,869,Kind Campaign,Push,2024-05-06,No,No,7
39,393,Book Campaign,SMS,2024-10-14,Yes,No,2
40,866,Whose Campaign,Push,2024-11-22,Clicked,Yes,3
41,420,Run Campaign,Coupon,2025-10-22,Yes,No,1
42,101,Smile Campaign,Email,2024-01-30,No,No,5
43,132,Idea Campaign,Coupon,2024-06-19,Yes,Yes,2
44,107,Put Campaign,Email,2024-09-26,Clicked,No,3
45,724,Husband Campaign,SMS,2024-12-07,No,No,1
46,40,Road Campaign,Email,2024-06-21,Yes,Yes,3
47,387,Power Campaign,Push,2025-02-10,Open,Yes,10
