transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,payment_method,channel
1,876,51,2024-10-27,4,125.99,503.96,Credit Card,Online
2,841,46,2024-11-16,1,401.24,401.24,Cash,Store
3,679,142,2024-10-21,2,152.31,304.62,Cash,Online
4,376,58,2024-03-15,1,327.38,327.38,PayPal,Store
5,555,144,2024-09-13,1,413.3,413.3,Cash,Store
6,127,122,2025-02-14,4,244.62,978.48,PayPal,Online
7,978,128,2025-11-18,5,387.33,1936.6499999999999,Cash,Store
8,701,118,2023-12-01,4,5.97,23.88,Credit Card,Store
9,117,139,2025-09-13,2,266.64,533.28,PayPal,Online
10,821,75,2025-11-18,3,348.2,1044.6,Cash,Online
11,118,152,2024-10-28,3,277.33,831.99,Credit Card,Store
12,988,77,2025-09-04,1,301.74,301.74,Bank Transfer,Online
13,705,194,2024-04-02,4,14.87,59.48,Cash,Online
14,236,134,2023-12-10,3,146.22,438.65999999999997,PayPal,Online
15,416,120,2025-09-14,1,284.91,284.91,Credit Card,Store
16,443,83,2023-12-31,2,385.98,771.96,Bank Transfer,Online
17,469,60,2024-06-07,3,404.18,1212.54,Credit Card,Online
18,863,148,2025-05-31,5,390.42,1952.1000000000001,Credit Card,Online
19,256,192,2024-10-09,3,281.78,845.3399999999999,Cash,Online
20,98,192,2024-04-26,5,453.77,2268.85,Cash,Store
21,179,99,2025-08-16,1,8.56,8.56,PayPal,Online
22,73,177,2024-12-28,1,171.19,171.19,PayPal,Online
23,458,148,2025-04-27,1,55.86,55.86,PayPal,Online
24,120,4,2024-09-02,2,456.34,912.68,Credit Card,Online
25,422,53,2025-04-05,4,344.19,1376.76,PayPal,Online
26,832,103,2025-09-17,4,356.17,1424.68,Bank Transfer,Store
27,204,197,2025-08-07,2,346.66,693.32,Credit Card,Online
28,76,97,2025-08-19,1,33.33,33.33,Cash,Online
29,24,146,2024-10-08,5,440.14,2200.7,Bank Transfer,Online
30,329,43,2025-10-15,1,383.9,383.9,Bank Transfer,Online
31,281,95,2025-08-08,5,305.24,1526.2,Credit Card,Online
32,723,156,2024-06-20,2,229.3,458.6,PayPal,Store
33,939,182,2024-10-14,4,73.03,292.12,Bank Transfer,Store
34,159,91,2025-06-18,1,107.01,107.01,Cash,Store
35,989,102,2024-01-24,3,340.04,1020.1200000000001,Credit Card,Online
36,524,19,2024-07-06,3,313.97,941.9100000000001,PayPal,Online
