session_id,customer_id,session_date,pages_visited,time_spent_minutes,device_type,source
1,713,2025-09-12,8,77.94,Mobile,Paid
2,147,2024-07-03,4,80.65,Desktop,Referral
3,937,2025-09-13,4,15.89,Desktop,Paid
4,641,2025-01-13,8,23.46,Mobile,Referral
5,970,2024-07-09,4,67.28,Tablet,Paid
6,851,2025-08-02,13,110.47,Mobile,Organic
7,52,2024-07-15,12,86.25,Tablet,Organic
8,696,2024-12-05,12,61.58,Desktop,Organic
9,786,2025-03-13,1,55.68,Tablet,Referral
10,975,2024-06-05,5,54.71,Tablet,Referral
11,38,2024-10-22,11,104.4,Tablet,Paid
12,717,2025-06-10,2,96.53,Tablet,Referral
13,787,2025-08-03,6,56.41,Tablet,Paid
14,81,2025-05-02,6,86.2,Mobile,Organic
15,778,2024-08-27,3,80.85,Desktop,Paid
16,484,2024-10-11,1,17.36,Tablet,Referral
17,931,2024-03-01,6,37.84,Desktop,Referral
18,915,2025-11-14,10,105.66,Mobile,Referral
19,315,2025-10-19,9,29.48,Mobile,Paid
20,689,2024-01-23,7,45.24,Desktop,Organic
21,867,2024-09-04,1,7.83,Tablet,Organic
22,999,2024-10-13,12,64.13,Mobile,Referral
23,134,2025-02-02,14,46.66,Desktop,Paid
24,268,2025-08-14,11,104.79,Mobile,Paid
25,651,2024-10-07,4,44.97,Desktop,Paid
26,361,2024-03-14,3,64.84,Mobile,Referral
27,241,2025-05-30,7,20.48,Desktop,Referral
28,928,2024-03-11,14,72.86,Mobile,Referral
29,879,2025-05-27,6,3.58,Tablet,Referral
30,484,2025-11-14,5,33.97,Tablet,Paid
31,79,2024-06-03,13,73.11,Desktop,Paid
32,380,2025-10-04,3,57.81,Desktop,Organic
33,887,2025-10-26,14,81.19,Mobile,Referral
34,667,2024-01-17,5,112.32,Desktop,Referral
35,444,2025-08-21,12,108.47,Desktop,Organic
36,899,2024-11-25,3,12.36,Desktop,Organic
37,226,2023-12-21,13,36.66,Mobile,Organic
38,13,2025-04-23,13,34.04,Desktop,Organic
39,995,2024-10-20,12,60.68,Tablet,Paid
40,491,2024-08-16,11,54.28,Desktop,Paid
41,882,2025-03-20,14,53.1,Tablet,Organic
42,164,2024-06-12,9,20.89,Tablet,Paid
43,632,2025-01-05,2,2.44,Mobile,Organic
44,760,2023-12-23,8,27.71,Desktop,Paid
45,653,2025-10-02,2,69.58,Mobile,Organic
46,239,2024-08-01,7,62.23,Desktop,Paid
47,460,2024-05-28,15,86.56,Desktop,Organic
